x,y,yaw,v
5.002283,-0.155054,-0.037817,2.02375
5.022503,-0.155915,-0.038679,2.023981
5.022503,-0.155915,-0.038679,2.023981
5.042724,-0.156808,-0.039712,2.024201
5.042724,-0.156808,-0.039712,2.024201
5.042724,-0.156808,-0.039712,2.024201
5.062947,-0.157707,-0.040573,2.024411
5.062947,-0.157707,-0.040573,2.024411
5.083163,-0.158638,-0.041608,2.023096
5.103367,-0.159575,-0.04247,2.02203
5.103367,-0.159575,-0.04247,2.02203
5.12356,-0.160544,-0.043506,2.021168
5.12356,-0.160544,-0.043506,2.021168
5.12356,-0.160544,-0.043506,2.021168
5.143745,-0.161518,-0.044368,2.020469
5.163922,-0.162524,-0.045402,2.019904
5.163922,-0.162524,-0.045402,2.019904
5.163922,-0.162524,-0.045402,2.019904
5.184093,-0.163536,-0.046264,2.019445
5.184093,-0.163536,-0.046264,2.019445
5.204258,-0.16458,-0.047297,2.019075
5.22442,-0.165629,-0.048158,2.018774
5.22442,-0.165629,-0.048158,2.018774
5.244578,-0.166712,-0.049191,2.018531
5.244578,-0.166712,-0.049191,2.018531
5.244578,-0.166712,-0.049191,2.018531
5.264733,-0.167799,-0.050051,2.018334
5.284884,-0.168919,-0.051083,2.018174
5.30503,-0.170045,-0.051943,2.017187
5.30503,-0.170045,-0.051943,2.017187
5.325164,-0.171202,-0.052976,2.016387
5.325164,-0.171202,-0.052976,2.016387
5.325164,-0.171202,-0.052976,2.016387
5.345291,-0.172365,-0.053836,2.01574
5.365411,-0.17356,-0.054868,2.015215
5.385525,-0.17476,-0.055728,2.01479
5.385525,-0.17476,-0.055728,2.01479
5.405633,-0.175992,-0.056759,2.014447
5.405633,-0.175992,-0.056759,2.014447
5.405633,-0.175992,-0.056759,2.014447
5.425738,-0.17723,-0.057617,2.014168
5.425738,-0.17723,-0.057617,2.014168
5.445839,-0.1785,-0.058648,2.013943
5.465937,-0.179776,-0.059506,2.01376
5.465937,-0.179776,-0.059506,2.01376
5.486031,-0.181084,-0.060536,2.013612
5.50612,-0.182397,-0.061394,2.012741
5.50612,-0.182397,-0.061394,2.012741
